"Stkcd","ShortName","Accper","Typrep","IfCorrect","A001000000"
"000153","新力药业","2000-12-31","A","0","634786180.28"
"000153","新力药业","2001-12-31","A","0","709481579.00"
"000153","新力药业","2002-12-31","A","0","684422288.37"
"000153","丰原药业","2003-12-31","A","0","736924953.28"
"000153","丰原药业","2004-12-31","A","0","895922376.45"
"000153","丰原药业","2005-12-31","A","0","1092666299.55"
"000153","丰原药业","2006-12-31","A","0","1065594356.94"
"000153","丰原药业","2007-12-31","A","0","1088619342.86"
"000153","丰原药业","2008-12-31","A","0","1165556031.79"
"000153","丰原药业","2009-12-31","A","0","1205473852.71"
"000153","丰原药业","2010-12-31","A","0","1275831031.26"
"000153","丰原药业","2011-12-31","A","0","1318229738.94"
"000153","丰原药业","2012-12-31","A","1","1450487242.98"
"000153","丰原药业","2013-12-31","A","1","1981022585.97"
"000153","丰原药业","2014-12-31","A","0","2237532801.65"
"000153","丰原药业","2015-12-31","A","0","2305280740.34"
"000153","丰原药业","2016-12-31","A","0","2490374171.78"
"000153","丰原药业","2017-12-31","A","0","2767714922.77"
"000153","丰原药业","2018-12-31","A","1","3007997786.47"
"000153","丰原药业","2019-12-31","A","0","3559614532.66"
"000153","丰原药业","2020-12-31","A","1","3636207572.40"
"000153","丰原药业","2021-12-31","A","0","3816330179.12"
"000153","丰原药业","2022-12-31","A","0","4469239892.87"
"000403","宜春工程","1996-12-31","A","0","330759321.68"
"000403","宜春工程","1997-12-31","A","0","397327686.00"
"000403","宜春工程","1998-12-31","A","0","523908003.43"
"000403","宜春工程","1999-12-31","A","0","960746690.97"
"000403","三九生化","2000-12-31","A","0","1178575293.78"
"000403","三九生化","2001-12-31","A","0","1378647164.74"
"000403","三九生化","2002-12-31","A","0","1544547579.28"
"000403","三九生化","2003-12-31","A","0","2241030946.34"
"000403","三九生化","2004-12-31","A","0","2115632483.81"
"000403","三九生化","2005-12-31","A","0","2082555385.63"
"000403","S*ST 生化","2006-12-31","A","1","1705459105.63"
"000403","S*ST 生化","2007-12-31","A","0","1659493044.93"
"000403","S*ST 生化","2008-12-31","A","0","1214774523.14"
"000403","S*ST 生化","2009-12-31","A","0","1251795177.02"
"000403","S*ST 生化","2010-12-31","A","0","925413645.16"
"000403","S*ST 生化","2011-12-31","A","0","960804959.44"
"000403","S*ST 生化","2012-12-31","A","0","1067946323.61"
"000403","*ST 生化","2013-12-31","A","0","1187156351.99"
"000403","ST 生化","2014-12-31","A","0","1193805924.67"
"000403","ST 生化","2015-12-31","A","0","1265309163.03"
"000403","ST 生化","2016-12-31","A","1","1279595945.22"
"000403","ST 生化","2017-12-31","A","1","1320579833.88"
"000403","振兴生化","2018-12-31","A","0","1317556724.19"
"000403","双林生物","2019-12-31","A","0","1271642145.71"
"000403","双林生物","2020-12-31","A","1","1652617170.83"
"000403","派林生物","2021-12-31","A","0","7087797976.53"
