"Stkcd","ShortName","Accper","Typrep","C001000000"
"000153","新力药业","2000-12-31","A","25877658.51"
"000153","新力药业","2001-12-31","A","23567558.47"
"000153","新力药业","2002-12-31","A","10475592.85"
"000153","丰原药业","2003-12-31","A","-11457847.02"
"000153","丰原药业","2004-12-31","A","-11716936.70"
"000153","丰原药业","2005-12-31","A","34877101.02"
"000153","丰原药业","2006-12-31","A","36268691.67"
"000153","丰原药业","2007-12-31","A","55259467.94"
"000153","丰原药业","2008-12-31","A","49822559.31"
"000153","丰原药业","2009-12-31","A","32405229.89"
"000153","丰原药业","2010-12-31","A","55037407.05"
"000153","丰原药业","2011-12-31","A","55063471.62"
"000153","丰原药业","2012-12-31","A","45650433.50"
"000153","丰原药业","2013-12-31","A","-70311400.92"
"000153","丰原药业","2014-12-31","A","10510497.35"
"000153","丰原药业","2015-12-31","A","45498599.32"
"000153","丰原药业","2016-12-31","A","78211866.08"
"000153","丰原药业","2017-12-31","A","52395110.05"
"000153","丰原药业","2018-12-31","A","233592504.55"
"000153","丰原药业","2019-12-31","A","66213294.70"
"000153","丰原药业","2020-12-31","A","292753328.44"
"000153","丰原药业","2021-12-31","A","237881716.28"
"000153","丰原药业","2022-12-31","A","439990375.52"
"000403","宜春工程","1998-12-31","A","-2646180.05"
"000403","宜春工程","1999-12-31","A","-23075192.00"
"000403","三九生化","2000-12-31","A","27363225.65"
"000403","三九生化","2001-12-31","A","111279940.56"
"000403","三九生化","2002-12-31","A","159179278.54"
"000403","三九生化","2003-12-31","A","-49467970.75"
"000403","三九生化","2004-12-31","A","-131732024.62"
"000403","三九生化","2005-12-31","A","49958568.13"
"000403","S*ST 生化","2006-12-31","A","-10417048.71"
"000403","S*ST 生化","2007-12-31","A","95029804.90"
"000403","S*ST 生化","2008-12-31","A","74902010.21"
"000403","S*ST 生化","2009-12-31","A","111864920.57"
"000403","S*ST 生化","2010-12-31","A","9878186.89"
"000403","S*ST 生化","2011-12-31","A","130137466.04"
"000403","S*ST 生化","2012-12-31","A","123244985.13"
"000403","*ST 生化","2013-12-31","A","91006899.38"
"000403","ST 生化","2014-12-31","A","77039221.86"
"000403","ST 生化","2015-12-31","A","70310540.04"
"000403","ST 生化","2016-12-31","A","62487361.12"
"000403","ST 生化","2017-12-31","A","-35912087.75"
"000403","振兴生化","2018-12-31","A","116634762.45"
"000403","双林生物","2019-12-31","A","190843307.13"
"000403","双林生物","2020-12-31","A","194839665.96"
"000403","派林生物","2021-12-31","A","408218063.31"
"000403","派林生物","2022-12-31","A","524218863.43"
"000423","东阿阿胶","1998-12-31","A","48372972.69"
"000423","东阿阿胶","1999-12-31","A","-19211122.74"
"000423","东阿阿胶","2000-12-31","A","175931023.54"
"000423","东阿阿胶","2001-12-31","A","44893753.87"
"000423","东阿阿胶","2002-12-31","A","97854693.91"
"000423","东阿阿胶","2003-12-31","A","102169487.29"
"000423","东阿阿胶","2004-12-31","A","137188526.60"
"000423","东阿阿胶","2005-12-31","A","67407174.13"
"000423","S 阿胶","2006-12-31","A","311882903.68"
"000423","东阿阿胶","2007-12-31","A","240331283.36"
"000423","东阿阿胶","2008-12-31","A","296834367.87"
"000423","东阿阿胶","2009-12-31","A","812705828.41"
