证券代码,证券简称,辖区,证监会行业,申万行业,内部控制指数评级,内部控制指数评分,报告期
600153.SH,建发股份,厦门辖区,批发业,原材料供应链服务,AAA,936.98,2022-12-31
000630.SZ,铜陵有色,安徽辖区,有色金属冶炼和压延加工业,铜,AA,884.91,2022-12-31
600704.SH,物产中大,浙江辖区,批发业,原材料供应链服务,AA,876.51,2022-12-31
600383.SH,金地集团,深圳辖区,房地产业,住宅开发,AA,854.39,2022-12-31
601898.SH,中煤能源,北京辖区,煤炭开采和洗选业,动力煤,AA,852.16,2022-12-31
601868.SH,中国能建,北京辖区,土木工程建筑业,基建市政工程,A,848.37,2022-12-31
600104.SH,上汽集团,上海辖区,汽车制造业,综合乘用车,A,835.14,2022-12-31
601088.SH,中国神华,北京辖区,煤炭开采和洗选业,动力煤,A,832.38,2022-12-31
300750.SZ,宁德时代,福建辖区,"电气机械和器材制造业 ",锂电池,A,826.62,2022-12-31
600361.SH,华联综超,北京辖区,零售业,铝,A,823.1,2022-12-31
601919.SH,中远海控,天津辖区,水上运输业,航运,A,822.41,2022-12-31
601319.SH,中国人保,北京辖区,保险业,保险Ⅲ,A,821.12,2022-12-31
002475.SZ,立讯精密,深圳辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,A,820.61,2022-12-31
600690.SH,海尔智家,青岛辖区,"电气机械和器材制造业 ",冰洗,A,819.68,2022-12-31
600803.SH,新奥股份,河北辖区,"燃气生产和供应业  ",燃气Ⅲ,A,818.56,2022-12-31
601225.SH,陕西煤业,陕西辖区,煤炭开采和洗选业,动力煤,A,814.94,2022-12-31
601601.SH,中国太保,上海辖区,保险业,保险Ⅲ,A,813.51,2022-12-31
002129.SZ,TCL中环,天津辖区,"电气机械和器材制造业 ",硅料硅片,A,808.6,2022-12-31
601728.SH,中国电信,北京辖区,电信、广播电视和卫星传输服务,电信运营商,A,808.22,2022-12-31
600022.SH,山东钢铁,山东辖区,"黑色金属冶炼和压延加工业 ",板材,A,807.77,2022-12-31
600332.SH,白云山,广东辖区,"医药制造业 ",中药Ⅲ,A,807.26,2022-12-31
600519.SH,贵州茅台,贵州辖区,酒、饮料和精制茶制造业,白酒Ⅲ,A,806.9,2022-12-31
601628.SH,中国人寿,北京辖区,保险业,保险Ⅲ,A,806.42,2022-12-31
601668.SH,中国建筑,北京辖区,土木工程建筑业,房屋建设Ⅲ,A,801.7,2022-12-31
600050.SH,中国联通,北京辖区,电信、广播电视和卫星传输服务,电信运营商,A,801.68,2022-12-31
601607.SH,上海医药,上海辖区,零售业,医药流通,A,801.68,2022-12-31
600795.SH,国电电力,大连辖区,电力、热力生产和供应业,火力发电,BBB,796.77,2022-12-31
600057.SH,厦门象屿,厦门辖区,商务服务业,原材料供应链服务,BBB,795.11,2022-12-31
600755.SH,厦门国贸,厦门辖区,批发业,原材料供应链服务,BBB,793.44,2022-12-31
002030.SZ,达安基因,广东辖区,"医药制造业 ",体外诊断,BBB,793.15,2022-12-31
000977.SZ,浪潮信息,山东辖区,计算机、通信和其他电子设备制造业,其他计算机设备,BBB,792.23,2022-12-31
601231.SH,环旭电子,上海辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,BBB,791.57,2022-12-31
000807.SZ,云铝股份,云南辖区,有色金属冶炼和压延加工业,铝,BBB,791.35,2022-12-31
002061.SZ,浙江交科,浙江辖区,土木工程建筑业,基建市政工程,BBB,788.12,2022-12-31
600710.SH,苏美达,江苏辖区,批发业,贸易Ⅲ,BBB,787.72,2022-12-31
000938.SZ,紫光股份,北京辖区,计算机、通信和其他电子设备制造业,IT服务Ⅲ,BBB,785.6,2022-12-31
300122.SZ,智飞生物,重庆辖区,"医药制造业 ",疫苗,BBB,784.17,2022-12-31
603288.SH,海天味业,广东辖区,食品制造业,调味发酵品Ⅲ,BBB,783.66,2022-12-31
601339.SH,百隆东方,宁波辖区,纺织业,棉纺,BBB,783.1,2022-12-31
601238.SH,广汽集团,广东辖区,汽车制造业,综合乘用车,BBB,781.47,2022-12-31
601138.SH,工业富联,深圳辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,BBB,781.28,2022-12-31
002938.SZ,鹏鼎控股,深圳辖区,计算机、通信和其他电子设备制造业,印制电路板,BBB,780.63,2022-12-31
002932.SZ,明德生物,湖北辖区,"医药制造业 ",体外诊断,BBB,780.09,2022-12-31
002758.SZ,浙农股份,浙江辖区,批发业,综合Ⅲ,BBB,779.98,2022-12-31
601991.SH,大唐发电,北京辖区,电力、热力生产和供应业,火力发电,BBB,777.97,2022-12-31
300979.SZ,华利集团,广东辖区,皮革、毛皮、羽毛及其制品和制鞋业,纺织鞋类制造,BBB,777.92,2022-12-31
002311.SZ,海大集团,广东辖区,农副食品加工业,水产饲料,BBB,776.74,2022-12-31
600188.SH,兖矿能源,山东辖区,煤炭开采和洗选业,动力煤,BBB,775.72,2022-12-31
000626.SZ,远大控股,江苏辖区,批发业,原材料供应链服务,BBB,773.98,2022-12-31
601888.SH,中国中免,北京辖区,商务服务业,旅游零售Ⅲ,BBB,773.7,2022-12-31
