"Symbol","EndDate","Source","StateTypeCode","RDPerson","RDPersonRatio","RDSpendSum","RDSpendSumRatio"
"000002","2018-12-31","0","1","","","946064361.2600",""
"000002","2019-12-31","0","1","","","1066676028.9200",""
"000002","2020-12-31","0","1","","","665687472.7900",""
"000002","2021-12-31","0","1","","","642366251.8900",""
"000008","2015-12-31","0","1","399","15.2500","93792298.5500","7.2400"
"000008","2016-12-31","0","1","733","38.5200","136767328.1500","7.2900"
"000008","2017-12-31","0","1","1377","56.9700","205539922.0000","8.8200"
"000008","2018-12-31","0","1","1490","56.6300","243008208.7400","9.4700"
"000008","2019-12-31","0","1","1508","55.2700","270150611.5900","8.3900"
"000008","2020-12-31","0","1","1382","57.7300","261535943.7000","13.6400"
"000008","2021-12-31","0","1","632","28.2100","253897069.7400","11.4600"
"000009","2009-12-31","0","1","","","1284707.5700",""
"000009","2012-12-31","0","1","","","51827300.0000","1.2900"
"000009","2013-12-31","0","1","","","69406300.0000","1.6700"
"000009","2014-12-31","0","1","","","117812400.0000","2.7300"
"000009","2015-12-31","0","1","350","4.2700","160696501.8200","3.3000"
"000009","2016-12-31","0","1","508","5.7200","222033802.6200","3.4600"
"000009","2017-12-31","0","1","565","5.1600","274922931.5200","3.9100"
"000009","2018-12-31","0","1","818","6.0100","376191746.2500","3.2100"
"000009","2019-12-31","0","1","727","5.4900","409051700.7000","3.4200"
"000009","2020-12-31","0","1","920","6.8900","438998486.5500","4.1400"
"000009","2021-12-31","0","1","1247","8.7000","811884198.0000","4.6300"
"000010","2012-12-31","0","1","","","6332700.0000","3.4000"
"000010","2013-12-31","0","1","","","4356200.0000","1.2000"
"000010","2018-12-31","0","1","18","3.3000","2055715.9700","0.6000"
"000010","2019-12-31","0","1","18","3.3000","1690182.5800","0.0900"
"000011","2021-12-31","0","1","30","0.0400","2171797.8000","0.0500"
"000011","2022-12-31","0","1","37","0.4000","3244129.1100","0.0900"
"000012","2007-12-31","0","1","","","36074693.0000",""
"000012","2008-12-31","0","1","","","39829023.0000",""
"000012","2009-12-31","0","1","","","54075217.0000",""
"000012","2011-12-31","0","1","","","171480998.0000",""
"000012","2013-12-31","0","1","","","190990000.0000","2.4700"
"000012","2014-12-31","0","1","","","208140000.0000","2.9500"
"000012","2015-12-31","0","1","162","1.5400","239933028.0000","3.2300"
"000012","2016-12-31","0","1","134","1.1600","341553966.0000","3.8100"
"000012","2017-12-31","0","1","134","1.1100","368237629.0000","3.3800"
"000012","2018-12-31","0","1","146","1.3500","381711070.0000","3.6000"
"000012","2019-12-31","0","1","184","1.7600","440884641.0000","4.2100"
"000012","2020-12-31","0","1","170","1.6100","434641497.0000","4.0700"
"000012","2021-12-31","0","1","173","1.4500","551196983.0000","4.0400"
"000016","2007-12-31","0","1","","","138000000.0000",""
"000016","2010-12-31","0","1","","","159116738.8900",""
"000016","2013-12-31","0","1","","","230000000.0000",""
"000016","2014-12-31","0","1","","","219000000.0000",""
"000016","2015-12-31","0","1","1213","6.5400","229397281.1900","1.2500"
"000016","2016-12-31","0","2","1203","6.9200","191650648.3900","0.9400"
"000016","2017-12-31","0","1","1353","7.5900","329676982.5000","1.0600"
"000016","2018-12-31","0","1","1467","7.7400","396460145.2400","0.8600"
"000016","2019-12-31","0","1","1494","7.7500","500600102.2300","0.9100"
"000016","2020-12-31","0","1","1504","8.7400","683690447.2700","1.3600"
"000016","2021-12-31","0","1","1505","9.2700","633205798.7100","1.2900"
"000017","2016-12-31","0","1","7","12.9600","652852.3300","0.4600"
"000017","2017-12-31","0","1","7","13.7300","919349.8100","0.6700"
"000017","2018-12-31","0","1","7","13.2100","894440.4200","0.7500"
"000017","2019-12-31","0","1","15","25.4200","2753277.7200","3.6200"
"000017","2020-12-31","0","1","24","36.9200","2506877.5700","2.1300"
"000017","2021-12-31","0","1","19","31.6700","2037197.5800","1.2300"
"000018","2015-12-31","0","1","189","11.2400","133143918.7900","3.3200"
"000018","2016-12-31","0","1","191","7.8300","139163839.1800","2.9800"
"000018","2017-12-31","0","1","146","5.0800","156200083.0500","3.0300"
"000018","2018-12-31","0","1","40","4.8700","31536641.3400","1.3000"
"000019","2012-12-31","0","1","","","18300400.0000",""
"000019","2013-12-31","0","1","","","13642400.0000","3.1100"
"000019","2014-12-31","0","1","","","22009500.0000","5.9800"
"000019","2015-12-31","0","1","35","4.1500","8627337.5100","2.5500"
"000019","2016-12-31","0","1","33","4.2900","7770753.7600","2.8400"
"000019","2017-12-31","0","1","32","4.6500","8769959.8800","2.7800"
"000019","2018-12-31","0","1","67","6.1100","10979464.6400","0.1000"
"000019","2019-12-31","0","1","88","7.4500","38855259.0500","0.3500"
"000019","2020-12-31","0","1","93","7.4600","46739359.4600","0.3900"
"000019","2021-12-31","0","1","113","8.8400","84730659.7600","0.8400"
"000020","2019-12-31","0","1","","","6649163.0200",""
"000020","2020-12-31","0","1","76","9.0700","7399966.3100","1.0700"
"000020","2021-12-31","0","1","96","8.5700","10794872.7400","1.4100"
"000021","2010-12-31","0","1","","","49973995.5000",""
"000021","2012-12-31","0","1","","","148988176.4200","0.9100"
"000021","2013-12-31","0","1","","","149104181.1100","0.9900"
"000021","2014-12-31","0","1","","","150530395.0700","0.9200"
"000021","2015-12-31","0","1","494","2.4100","168168750.9100","1.0900"
"000021","2016-12-31","0","1","536","1.4600","166857240.8500","1.1100"
"000021","2017-12-31","0","1","667","2.7100","159080570.2400","1.1200"
"000021","2018-12-31","0","1","695","3.1600","199815960.8100","1.2400"
"000021","2019-12-31","0","1","617","2.0800","208160094.3800","1.5700"
"000021","2020-12-31","0","1","561","2.0700","255116919.6700","1.7000"
"000021","2021-12-31","0","1","540","2.0100","310326547.0600","1.8800"
"000022","2015-12-31","0","1","65","4.4900","23311082.4700","1.2400"
"000022","2016-12-31","0","1","76","5.3700","28215328.7100","1.4800"
